Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,N_steps,Mean Score
281,0.00025,64,0.99,0.95,1098,28.02
282,0.00025,64,0.99,0.95,2488,31.58
283,0.00025,64,0.99,0.95,2385,27.58
284,0.00025,64,0.99,0.95,1817,30.02
285,0.00025,64,0.99,0.95,2534,30.2
286,0.00025,64,0.99,0.95,3746,35.32
287,0.00025,64,0.99,0.95,3192,30.6
288,0.00025,64,0.99,0.95,3731,34.92
289,0.00025,64,0.99,0.95,1017,29.38
290,0.00025,64,0.99,0.95,2669,29.84
291,0.00025,64,0.99,0.95,2341,26.22
292,0.00025,64,0.99,0.95,1113,26.72
293,0.00025,64,0.99,0.95,1504,27.14
294,0.00025,64,0.99,0.95,3254,27.62
295,0.00025,64,0.99,0.95,1692,28.24
296,0.00025,64,0.99,0.95,2026,25.38
297,0.00025,64,0.99,0.95,2009,32.94
298,0.00025,64,0.99,0.95,3423,30.66
299,0.00025,64,0.99,0.95,1362,31.84
300,0.00025,64,0.99,0.95,1188,30.04
301,0.00025,64,0.99,0.95,3438,33.62
302,0.00025,64,0.99,0.95,765,30.42
303,0.00025,64,0.99,0.95,1591,26.16
304,0.00025,64,0.99,0.95,1731,30
305,0.00025,64,0.99,0.95,953,28.5
306,0.00025,64,0.99,0.95,1939,22.44
307,0.00025,64,0.99,0.95,3809,32.56
308,0.00025,64,0.99,0.95,2453,28.16
309,0.00025,64,0.99,0.95,2273,23.78
310,0.00025,64,0.99,0.95,3018,34.4
311,0.00025,64,0.99,0.95,2316,28.44
312,0.00025,64,0.99,0.95,3902,32.28
313,0.00025,64,0.99,0.95,1833,26.08
314,0.00025,64,0.99,0.95,1737,27.52
315,0.00025,64,0.99,0.95,971,29.82
316,0.00025,64,0.99,0.95,3698,28.76
317,0.00025,64,0.99,0.95,1256,25.4
318,0.00025,64,0.99,0.95,3346,29.06
319,0.00025,64,0.99,0.95,2673,34.42
320,0.00025,64,0.99,0.95,1029,28.42
321,0.00025,64,0.99,0.95,2975,29.68
322,0.00025,64,0.99,0.95,619,26.72
323,0.00025,64,0.99,0.95,2321,29.66
324,0.00025,64,0.99,0.95,681,25.06
325,0.00025,64,0.99,0.95,2175,26
326,0.00025,64,0.99,0.95,3382,34.02
327,0.00025,64,0.99,0.95,728,24.96
328,0.00025,64,0.99,0.95,2642,28.54
329,0.00025,64,0.99,0.95,3283,30.52
330,0.00025,64,0.99,0.95,1282,27.54
331,0.00025,64,0.99,0.95,3014,34.66
332,0.00025,64,0.99,0.95,2934,29.84
333,0.00025,64,0.99,0.95,2612,28.4
334,0.00025,64,0.99,0.95,3985,30.14
335,0.00025,64,0.99,0.95,1984,25.6
336,0.00025,64,0.99,0.95,2928,29.02
337,0.00025,64,0.99,0.95,1400,31.3
338,0.00025,64,0.99,0.95,937,27.5
339,0.00025,64,0.99,0.95,3162,27.86
340,0.00025,64,0.99,0.95,1007,27.94
341,0.00025,64,0.99,0.95,889,27.2
342,0.00025,64,0.99,0.95,3210,36.22
343,0.00025,64,0.99,0.95,3822,28.46
344,0.00025,64,0.99,0.95,2589,29.16
345,0.00025,64,0.99,0.95,1046,29.74
346,0.00025,64,0.99,0.95,3442,31.18
347,0.00025,64,0.99,0.95,3649,26.5
348,0.00025,64,0.99,0.95,3182,32.64
349,0.00025,64,0.99,0.95,2162,29.06
350,0.00025,64,0.99,0.95,919,26.16
351,0.00025,64,0.99,0.95,2433,26.6
352,0.00025,64,0.99,0.95,1182,27.52
353,0.00025,64,0.99,0.95,1013,25.94
354,0.00025,64,0.99,0.95,727,29.14
355,0.00025,64,0.99,0.95,548,29.48
356,0.00025,64,0.99,0.95,3553,28.26
357,0.00025,64,0.99,0.95,1691,27.56
358,0.00025,64,0.99,0.95,1150,29.96
359,0.00025,64,0.99,0.95,532,29.26
360,0.00025,64,0.99,0.95,3760,25.44
361,0.00025,64,0.99,0.95,3251,28.96
362,0.00025,64,0.99,0.95,628,27.5
363,0.00025,64,0.99,0.95,2761,33.18
364,0.00025,64,0.99,0.95,2755,27.24
365,0.00025,64,0.99,0.95,728,24.14
366,0.00025,64,0.99,0.95,3272,34.62
367,0.00025,64,0.99,0.95,2527,29.08
368,0.00025,64,0.99,0.95,2492,28.78
369,0.00025,64,0.99,0.95,1103,25.44
370,0.00025,64,0.99,0.95,1020,25.74
371,0.00025,64,0.99,0.95,3207,36.74
372,0.00025,64,0.99,0.95,3916,29.78
373,0.00025,64,0.99,0.95,2891,28.72
374,0.00025,64,0.99,0.95,3174,25.72
375,0.00025,64,0.99,0.95,3454,34.38
376,0.00025,64,0.99,0.95,648,26.42
377,0.00025,64,0.99,0.95,593,29.34
378,0.00025,64,0.99,0.95,1041,28.96
379,0.00025,64,0.99,0.95,1829,28.5
380,0.00025,64,0.99,0.95,2318,29.8
381,0.00025,64,0.99,0.95,3756,31.3
382,0.00025,64,0.99,0.95,1486,30.66
383,0.00025,64,0.99,0.95,3832,30.74
384,0.00025,64,0.99,0.95,996,29.02
385,0.00025,64,0.99,0.95,1767,28.74
386,0.00025,64,0.99,0.95,3448,25.94
387,0.00025,64,0.99,0.95,1320,31.26
388,0.00025,64,0.99,0.95,3125,30.42
389,0.00025,64,0.99,0.95,1210,26.06
390,0.00025,64,0.99,0.95,2568,29.32
391,0.00025,64,0.99,0.95,2851,29.86
392,0.00025,64,0.99,0.95,1584,30.56
393,0.00025,64,0.99,0.95,2376,26.08
394,0.00025,64,0.99,0.95,3714,28.86
395,0.00025,64,0.99,0.95,1257,26
396,0.00025,64,0.99,0.95,2422,25.7
397,0.00025,64,0.99,0.95,2974,28.02
398,0.00025,64,0.99,0.95,929,27.88
399,0.00025,64,0.99,0.95,2316,27.68
400,0.00025,64,0.99,0.95,3050,28.06
401,0.00025,64,0.99,0.95,1439,29.8
402,0.00025,64,0.99,0.95,2233,26.82
403,0.00025,64,0.99,0.95,2094,27.86
404,0.00025,64,0.99,0.95,1488,27.82
405,0.00025,64,0.99,0.95,2786,28.22
406,0.00025,64,0.99,0.95,657,30.46
407,0.00025,64,0.99,0.95,2023,32.28
408,0.00025,64,0.99,0.95,2894,29.34
409,0.00025,64,0.99,0.95,1150,26.34
410,0.00025,64,0.99,0.95,629,30.06
411,0.00025,64,0.99,0.95,568,24.52
412,0.00025,64,0.99,0.95,1626,30.04
413,0.00025,64,0.99,0.95,1133,29.4
414,0.00025,64,0.99,0.95,2718,29.72
415,0.00025,64,0.99,0.95,2853,28.62
416,0.00025,64,0.99,0.95,2746,29.86
417,0.00025,64,0.99,0.95,1222,24.38
418,0.00025,64,0.99,0.95,1466,25.36
419,0.00025,64,0.99,0.95,1838,32.18
420,0.00025,64,0.99,0.95,2572,26.64
421,0.00025,64,0.99,0.95,3895,34.5
422,0.00025,64,0.99,0.95,3910,29.16
423,0.00025,64,0.99,0.95,2789,28.5
424,0.00025,64,0.99,0.95,2715,25.44
425,0.00025,64,0.99,0.95,3087,31.84
426,0.00025,64,0.99,0.95,3483,35.7
427,0.00025,64,0.99,0.95,3981,31.44
428,0.00025,64,0.99,0.95,2980,23.8
429,0.00025,64,0.99,0.95,3298,34.56
430,0.00025,64,0.99,0.95,3668,27.08
431,0.00025,64,0.99,0.95,871,26.62
432,0.00025,64,0.99,0.95,1689,26.14
433,0.00025,64,0.99,0.95,3630,27.62
434,0.00025,64,0.99,0.95,2128,29.4
435,0.00025,64,0.99,0.95,1593,27.16
436,0.00025,64,0.99,0.95,1391,27.8
437,0.00025,64,0.99,0.95,2756,27.36
438,0.00025,64,0.99,0.95,3956,32.7
439,0.00025,64,0.99,0.95,992,29.08
440,0.00025,64,0.99,0.95,1043,26.92
441,0.00025,64,0.99,0.95,3577,28.12
442,0.00025,64,0.99,0.95,2584,30.04
443,0.00025,64,0.99,0.95,3444,29.24
444,0.00025,64,0.99,0.95,1107,28.8
445,0.00025,64,0.99,0.95,854,26.9
446,0.00025,64,0.99,0.95,1678,28.56
447,0.00025,64,0.99,0.95,3133,31.48
448,0.00025,64,0.99,0.95,1276,23.52
449,0.00025,64,0.99,0.95,3715,30.22
450,0.00025,64,0.99,0.95,3486,27.42
451,0.00025,64,0.99,0.95,3043,32.64
452,0.00025,64,0.99,0.95,1276,29
453,0.00025,64,0.99,0.95,807,29.62
454,0.00025,64,0.99,0.95,2008,23.5
455,0.00025,64,0.99,0.95,3995,35.5
456,0.00025,64,0.99,0.95,2334,32.74
457,0.00025,64,0.99,0.95,2987,25.5
458,0.00025,64,0.99,0.95,2927,28.24
459,0.00025,64,0.99,0.95,947,29.18
460,0.00025,64,0.99,0.95,1427,27.88
461,0.00025,64,0.99,0.95,3185,29.2
462,0.00025,64,0.99,0.95,1065,24.88
463,0.00025,64,0.99,0.95,1694,25.64
464,0.00025,64,0.99,0.95,1170,23.74
465,0.00025,64,0.99,0.95,1636,24.98
466,0.00025,64,0.99,0.95,2965,30.3
467,0.00025,64,0.99,0.95,1100,28.5
468,0.00025,64,0.99,0.95,2998,30
469,0.00025,64,0.99,0.95,2304,29.64
470,0.00025,64,0.99,0.95,3192,33.78
471,0.00025,64,0.99,0.95,2329,28.2
472,0.00025,64,0.99,0.95,3099,32.74
473,0.00025,64,0.99,0.95,3205,26.66
474,0.00025,64,0.99,0.95,3849,31.88
475,0.00025,64,0.99,0.95,1674,25.68
476,0.00025,64,0.99,0.95,2801,32.62
477,0.00025,64,0.99,0.95,2002,31.14
478,0.00025,64,0.99,0.95,2167,28
479,0.00025,64,0.99,0.95,1883,25.9
480,0.00025,64,0.99,0.95,1401,25.44
481,0.00025,64,0.99,0.95,971,25.24
482,0.00025,64,0.99,0.95,3116,32.42
483,0.00025,64,0.99,0.95,1435,25.14
484,0.00025,64,0.99,0.95,3211,28.68
485,0.00025,64,0.99,0.95,2373,28.86
486,0.00025,64,0.99,0.95,2904,29.96
487,0.00025,64,0.99,0.95,2244,26.64
488,0.00025,64,0.99,0.95,623,24.18
489,0.00025,64,0.99,0.95,2932,27.1
490,0.00025,64,0.99,0.95,1033,26.84
491,0.00025,64,0.99,0.95,3884,24.78
492,0.00025,64,0.99,0.95,619,27.7
493,0.00025,64,0.99,0.95,1309,30.4
494,0.00025,64,0.99,0.95,544,27.28
495,0.00025,64,0.99,0.95,3991,34.16
496,0.00025,64,0.99,0.95,1591,27.9
497,0.00025,64,0.99,0.95,1892,25.94
498,0.00025,64,0.99,0.95,2779,32
499,0.00025,64,0.99,0.95,2302,27.38
500,0.00025,64,0.99,0.95,2783,27.18
501,0.00025,64,0.99,0.95,2652,24.88
502,0.00025,64,0.99,0.95,595,32.38
503,0.00025,64,0.99,0.95,1994,27.3
504,0.00025,64,0.99,0.95,3820,28.86
505,0.00025,64,0.99,0.95,887,32.1
506,0.00025,64,0.99,0.95,911,27.6
507,0.00025,64,0.99,0.95,1401,30.32
508,0.00025,64,0.99,0.95,941,28.34
509,0.00025,64,0.99,0.95,1961,28.62
510,0.00025,64,0.99,0.95,2995,28.94
511,0.00025,64,0.99,0.95,3712,32.72
512,0.00025,64,0.99,0.95,510,25.3
513,0.00025,64,0.99,0.95,540,28.98
514,0.00025,64,0.99,0.95,3561,29.44
515,0.00025,64,0.99,0.95,3480,27.6
516,0.00025,64,0.99,0.95,3357,34.58
517,0.00025,64,0.99,0.95,1113,26.36
518,0.00025,64,0.99,0.95,3668,28.04
519,0.00025,64,0.99,0.95,601,26.44
520,0.00025,64,0.99,0.95,1241,23.6
521,0.00025,64,0.99,0.95,3780,34.94
522,0.00025,64,0.99,0.95,555,27.66
523,0.00025,64,0.99,0.95,2686,27.7
524,0.00025,64,0.99,0.95,2280,31.68
525,0.00025,64,0.99,0.95,2667,26.64
526,0.00025,64,0.99,0.95,2605,30.98
527,0.00025,64,0.99,0.95,3954,29.48
528,0.00025,64,0.99,0.95,961,26.68
529,0.00025,64,0.99,0.95,2150,30.44
530,0.00025,64,0.99,0.95,2400,29.6
531,0.00025,64,0.99,0.95,2177,29.68
532,0.00025,64,0.99,0.95,792,28.18
533,0.00025,64,0.99,0.95,1019,25.92
534,0.00025,64,0.99,0.95,3044,28.6
535,0.00025,64,0.99,0.95,3530,32.44
