Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,Mean Score
535,0.00025,64,0.99,0.95,[26.62]
536,0.00025,64,0.99,0.95,[25.52]
537,0.00025,64,0.99,0.95,[29.76]
538,0.00025,64,0.99,0.95,[27.96]
539,0.00025,64,0.99,0.95,[31.98]
540,0.00025,64,0.99,0.95,[26.88]
541,0.00025,64,0.99,0.95,[24.94]
542,0.00025,64,0.99,0.95,[29.22]
543,0.00025,64,0.99,0.95,[25.34]
544,0.00025,64,0.99,0.95,[29.74]
545,0.00025,64,0.99,0.95,[25.]
546,0.00025,64,0.99,0.95,[34.46]
547,0.00025,64,0.99,0.95,[27.32]
548,0.00025,64,0.99,0.95,[26.14]
549,0.00025,64,0.99,0.95,[27.8]
550,0.00025,64,0.99,0.95,[28.34]
551,0.00025,64,0.99,0.95,[31.66]
552,0.00025,64,0.99,0.95,[30.24]
553,0.00025,64,0.99,0.95,[27.74]
554,0.00025,64,0.99,0.95,[24.1]
555,0.00025,64,0.99,0.95,[27.74]
556,0.00025,64,0.99,0.95,[32.62]
557,0.00025,64,0.99,0.95,[25.84]
558,0.00025,64,0.99,0.95,[29.72]
559,0.00025,64,0.99,0.95,[28.4]
560,0.00025,64,0.99,0.95,[28.16]
561,0.00025,64,0.99,0.95,[26.9]
562,0.00025,64,0.99,0.95,[28.56]
563,0.00025,64,0.99,0.95,[28.34]
564,0.00025,64,0.99,0.95,[29.]
565,0.00025,64,0.99,0.95,[27.1]
566,0.00025,64,0.99,0.95,[26.6]
567,0.00025,64,0.99,0.95,[32.6]
568,0.00025,64,0.99,0.95,[34.42]
569,0.00025,64,0.99,0.95,[27.8]
570,0.00025,64,0.99,0.95,[30.34]
571,0.00025,64,0.99,0.95,[28.3]
572,0.00025,64,0.99,0.95,[28.22]
573,0.00025,64,0.99,0.95,[30.54]
574,0.00025,64,0.99,0.95,[28.72]
575,0.00025,64,0.99,0.95,[25.02]
576,0.00025,64,0.99,0.95,[31.24]
577,0.00025,64,0.99,0.95,[31.86]
578,0.00025,64,0.99,0.95,[25.74]
579,0.00025,64,0.99,0.95,[26.1]
580,0.00025,64,0.99,0.95,[26.86]
581,0.00025,64,0.99,0.95,[28.02]
582,0.00025,64,0.99,0.95,[28.02]
583,0.00025,64,0.99,0.95,[26.44]
584,0.00025,64,0.99,0.95,[30.18]
585,0.00025,64,0.99,0.95,[34.]
586,0.00025,64,0.99,0.95,[28.76]
587,0.00025,64,0.99,0.95,[26.96]
588,0.00025,64,0.99,0.95,[29.34]
589,0.00025,64,0.99,0.95,[33.92]
590,0.00025,64,0.99,0.95,[30.42]
591,0.00025,64,0.99,0.95,[32.7]
592,0.00025,64,0.99,0.95,[28.8]
593,0.00025,64,0.99,0.95,[27.5]
594,0.00025,64,0.99,0.95,[29.28]
595,0.00025,64,0.99,0.95,[23.14]
596,0.00025,64,0.99,0.95,[31.68]
597,0.00025,64,0.99,0.95,[28.16]
598,0.00025,64,0.99,0.95,[25.88]
599,0.00025,64,0.99,0.95,[27.38]
600,0.00025,64,0.99,0.95,[28.8]
601,0.00025,64,0.99,0.95,[27.94]
602,0.00025,64,0.99,0.95,[28.34]
603,0.00025,64,0.99,0.95,[30.14]
604,0.00025,64,0.99,0.95,[27.62]
