Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted,training time * wattage,kilowatt hours
Lunar Lander,100000.0,PPO,113.176,-90.77776,31.022755,,212175.92084150002,0.05893775578930556
Lunar Lander,100000.0,TD3,,,,,,
Lunar Lander,100000.0,DDPG,,,,,,
Lunar Lander,100000.0,A2C,122.723,157.8552,107.73383,,209899.83871247224,0.05830551075346451
Lunar Lander,100000.0,SAC,,,,,,
Lunar Lander,100000.0,DQN,93.403,-75.24822,42.16203,,159195.7002589986,0.04422102784972184
Lunar Lander,500000.0,PPO,694.405,110.778076,78.8606,,1301830.9563153125,0.3616197100875868
Lunar Lander,500000.0,TD3,,,,,,
Lunar Lander,500000.0,DDPG,,,,,,
Lunar Lander,500000.0,A2C,920.999,-64.1053,67.37763,,1575234.809728806,0.4375652249246683
Lunar Lander,500000.0,SAC,,,,,,
Lunar Lander,500000.0,DQN,879.037,-17.789785,31.446667,,1498227.1529669215,0.41617420915747816
Lunar Lander,1000000.0,PPO,1072.154,186.84024,134.75362,,2010013.2734316252,0.5583370203976736
Lunar Lander,1000000.0,TD3,,,,,,
Lunar Lander,1000000.0,DDPG,,,,,,
Lunar Lander,1000000.0,A2C,2017.205,5.348569,136.14886,,3450135.705205973,0.9583710292238813
Lunar Lander,1000000.0,SAC,,,,,,
Lunar Lander,1000000.0,DQN,1540.478,2.903672,11.889485,,2625584.5523546534,0.729329042320737
,,,,,,,,
Cart Pole,10000.0,PPO,7.813,202.2,41.242695,,14647.3675473125,0.004068713207586806
Cart Pole,10000.0,TD3,,,,,,
Cart Pole,10000.0,DDPG,,,,,,
Cart Pole,10000.0,A2C,9.068,219.8,38.43124,,15509.49485788889,0.0043081930160802475
Cart Pole,10000.0,SAC,,,,,,
Cart Pole,10000.0,DQN,0.947,30.2,3.2496154,,1614.0630188031612,0.0004483508385564337
Cart Pole,20000.0,PPO,14.156,279.0,118.321594,,26538.862792750002,0.007371906331319445
Cart Pole,20000.0,TD3,,,,,,
Cart Pole,20000.0,DDPG,,,,,,
Cart Pole,20000.0,A2C,17.257,135.2,9.108,,29515.588085861116,0.008198774468294754
Cart Pole,20000.0,SAC,,,,,,
Cart Pole,20000.0,DQN,1.942,23.0,4.427189,,3309.93704595115,0.0009194269572086528
Cart Pole,50000.0,PPO,32.98,500.0,0.0,,61829.02620125,0.01717472950034722
Cart Pole,50000.0,TD3,,,,,,
Cart Pole,50000.0,DDPG,,,,,,
