learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward,training_time,std_reward
0.01,512,128,0.999,0.95,0.5,0.1,1E-06,500,5.23279976844788,0
0.01,512,128,0.999,0.95,0.5,0.01,1E-06,500,5.20184087753296,0
0.01,512,128,0.999,0.95,0.5,0.01,1E-07,500,5.11607789993286,0
0.01,512,128,0.999,0.95,0.5,0.001,1E-07,500,5.17915105819702,0
0.01,512,128,0.999,0.9,0.1,0.1,1E-05,500,4.91266536712647,0
0.01,512,128,0.999,0.9,0.2,0,1E-05,500,5.56996822357178,0
0.01,512,128,0.999,0.9,0.2,0.1,1E-06,500,4.86874938011169,0
0.01,512,128,0.999,0.9,0.3,0.1,1E-05,500,5.18149900436401,0
0.01,512,128,0.999,0.9,0.3,0.001,1E-06,500,5.31201386451721,0
0.01,512,128,0.999,0.9,0.3,0.001,1E-07,500,4.86896824836731,0
0.01,512,128,0.999,0.9,0.4,0.1,1E-05,500,4.97212958335876,0
0.01,512,128,0.999,0.9,0.4,0.01,1E-06,500,5.0818338394165,0
0.01,512,128,0.999,0.9,0.5,0.001,1E-06,500,5.31818962097168,0
0.01,512,128,0.999,0.85,0.2,0,1E-07,500,5.23846507072449,0
0.01,512,128,0.999,0.85,0.2,0.01,1E-05,500,4.85912251472473,0
0.01,512,128,0.999,0.85,0.3,0.1,1E-05,500,5.08398914337158,0
0.01,512,128,0.999,0.85,0.3,0.01,1E-05,500,5.21137666702271,0
0.001,512,64,0.9,0.95,0.4,0.01,1E-07,500,6.47118878364563,0
0.001,512,64,0.9,0.95,0.5,0.001,1E-06,500,6.26192235946655,0
0.001,512,64,0.95,0.95,0.1,0.1,1E-07,500,6.61366724967957,0
0.001,512,64,0.95,0.95,0.3,0,1E-05,500,6.12765026092529,0
0.001,512,64,0.95,0.9,0.2,0.1,1E-05,500,7.29513216018677,0
0.001,512,64,0.95,0.9,0.3,0,1E-07,500,6.48934030532837,0
0.001,512,64,0.95,0.85,0.2,0.01,1E-06,500,6.52497029304504,0
0.001,512,64,0.99,0.95,0.1,0.01,1E-07,500,6.41474604606628,0
0.001,512,64,0.99,0.95,0.2,0,1E-05,500,6.62437868118286,0
0.001,512,64,0.99,0.95,0.3,0,1E-06,500,6.45662665367126,0
0.001,512,64,0.99,0.95,0.3,0.01,1E-06,500,6.63314127922058,0
0.001,512,64,0.99,0.95,0.3,0.01,1E-07,500,6.07474327087402,0
0.001,512,64,0.99,0.95,0.4,0.1,1E-05,500,6.57222366333008,0
0.001,512,64,0.99,0.95,0.4,0.001,1E-06,500,6.42507147789001,0
0.001,512,64,0.99,0.95,0.5,0,1E-06,500,6.40635848045349,0
0.001,512,64,0.99,0.95,0.5,0.1,1E-05,500,6.26727938652039,0
0.001,512,64,0.99,0.95,0.5,0.001,1E-05,500,6.35810732841492,0
0.001,512,64,0.99,0.9,0.3,0,1E-05,500,6.25778365135193,0
0.001,512,64,0.99,0.9,0.3,0,1E-06,500,6.26035356521606,0
0.001,512,64,0.99,0.9,0.3,0,1E-07,500,6.49229502677918,0
0.001,512,64,0.99,0.85,0.5,0.1,1E-07,500,6.21157884597778,0
0.001,512,64,0.999,0.95,0.1,0.1,1E-07,500,6.51452326774597,0
0.001,512,64,0.999,0.95,0.1,0.01,1E-07,500,6.26310849189758,0
0.001,512,64,0.999,0.95,0.2,0.1,1E-06,500,6.61267948150635,0
