Learning Rate,N_steps,Batch Size,Gamma,gae_lambda,Clip Range,ent_coef,epsilon,Mean Score,training_time,standard deviation
0.99,512,64,0.9,0.9,0.4,0.01,1E-05,9.1,8.23053812980652,0.7
0.99,512,64,0.9,0.9,0.4,0.01,1E-06,9.7,8.42316055297852,0.781024967590666
0.99,512,64,0.9,0.9,0.4,0.01,1E-07,9,8.73477792739868,0.447213595499958
0.99,512,64,0.9,0.9,0.4,0.001,1E-05,9.4,8.48084044456482,0.489897948556636
0.99,512,64,0.9,0.9,0.4,0.001,1E-06,9.7,8.37807703018189,0.781024967590665
0.99,512,64,0.9,0.9,0.4,0.001,1E-07,9.8,8.72496318817139,0.4
0.99,512,64,0.9,0.9,0.5,0,1E-05,9.4,8.193030834198,0.66332495807108
0.99,512,64,0.9,0.9,0.5,0,1E-06,9.5,8.12638735771179,0.670820393249937
0.99,512,64,0.9,0.9,0.5,0,1E-07,9.6,8.26942610740662,0.66332495807108
0.99,512,64,0.9,0.9,0.5,0.1,1E-05,9.6,8.91259026527405,0.66332495807108
0.99,512,64,0.9,0.9,0.5,0.1,1E-06,9.6,8.45574140548706,0.489897948556636
0.99,512,64,0.9,0.9,0.5,0.1,1E-07,9.1,8.10422587394714,0.7
0.99,512,64,0.9,0.9,0.5,0.01,1E-05,9.5,8.68128180503845,0.806225774829855
0.99,512,64,0.9,0.9,0.5,0.01,1E-06,9.6,8.32470536231995,0.66332495807108
0.99,512,64,0.9,0.9,0.5,0.01,1E-07,9.5,8.98911476135254,0.921954445729289
0.99,512,64,0.9,0.9,0.5,0.001,1E-05,9.2,8.47177743911743,0.748331477354788
0.99,512,64,0.9,0.9,0.5,0.001,1E-06,9.5,8.42643070220947,0.5
0.99,512,64,0.9,0.9,0.5,0.001,1E-07,9.6,8.44239521026611,0.489897948556636
0.99,512,64,0.9,0.85,0.1,0,1E-05,60.3,8.52496933937073,14.0360250783475
0.99,512,64,0.9,0.85,0.1,0,1E-06,9.3,8.14137625694275,0.640312423743285
0.99,512,64,0.9,0.85,0.1,0,1E-07,9.9,8.48302340507507,0.53851648071345
0.99,512,64,0.9,0.85,0.1,0.1,1E-05,8.8,8.40279984474182,0.748331477354788
0.99,512,64,0.9,0.85,0.1,0.1,1E-06,9.5,8.82201480865479,0.5
0.99,512,64,0.9,0.85,0.1,0.1,1E-07,9.7,8.37147283554077,0.781024967590666
0.99,512,64,0.9,0.85,0.1,0.01,1E-05,9.5,8.22676587104797,0.670820393249937
0.99,512,64,0.9,0.85,0.1,0.01,1E-06,9,8.82906603813171,0.447213595499958
0.99,512,64,0.9,0.85,0.1,0.01,1E-07,9.3,8.81627035140991,0.9
0.99,512,64,0.9,0.85,0.1,0.001,1E-05,9.4,8.63097500801086,0.489897948556636
0.99,512,64,0.9,0.85,0.1,0.001,1E-06,9.2,8.28387761116028,0.748331477354788
0.99,512,64,0.9,0.85,0.1,0.001,1E-07,9.3,8.32418203353882,0.781024967590666
0.99,512,64,0.9,0.85,0.2,0,1E-05,9.8,8.38391661643982,0.4
0.99,512,64,0.9,0.85,0.2,0,1E-06,39.5,8.17853164672852,13.4480481855175
0.99,512,64,0.9,0.85,0.2,0,1E-07,9,8.58303761482239,0.774596669241483
0.99,512,64,0.9,0.85,0.2,0.1,1E-05,9.6,8.32684850692749,0.489897948556636
0.99,512,64,0.9,0.85,0.2,0.1,1E-06,9.4,8.53503847122192,0.916515138991168
0.99,512,64,0.9,0.85,0.2,0.1,1E-07,9.1,8.45187783241272,0.830662386291808
0.99,512,64,0.9,0.85,0.2,0.01,1E-05,9.9,8.29558062553406,0.3
0.99,512,64,0.9,0.85,0.2,0.01,1E-06,9.1,9.72384715080261,0.94339811320566
0.99,512,64,0.9,0.85,0.2,0.01,1E-07,9,8.36560702323914,0.632455532033676
0.99,512,64,0.9,0.85,0.2,0.001,1E-05,9.4,7.96943330764771,0.66332495807108
0.99,512,64,0.9,0.85,0.2,0.001,1E-06,9.3,6.83994483947754,0.640312423743285
0.99,512,64,0.9,0.85,0.2,0.001,1E-07,9.4,6.47289323806763,0.8
0.99,512,64,0.9,0.85,0.3,0,1E-05,9.4,6.52041220664978,0.8
0.99,512,64,0.9,0.85,0.3,0,1E-06,9.2,6.51528811454773,0.6
0.99,512,64,0.9,0.85,0.3,0,1E-07,9.6,6.48989200592041,0.66332495807108
0.99,512,64,0.9,0.85,0.3,0.1,1E-05,22.1,6.65951919555664,3.67287353444139
0.99,512,64,0.9,0.85,0.3,0.1,1E-06,9.6,6.38570070266724,0.916515138991168
0.99,512,64,0.9,0.85,0.3,0.1,1E-07,9.3,6.61382627487183,0.640312423743285
0.99,512,64,0.9,0.85,0.3,0.01,1E-05,9.6,6.69494986534119,0.489897948556636
0.99,512,64,0.9,0.85,0.3,0.01,1E-06,9.5,6.30526113510132,0.806225774829855
0.99,512,64,0.9,0.85,0.3,0.01,1E-07,9.7,6.57658576965332,1.00498756211209
0.99,512,64,0.9,0.85,0.3,0.001,1E-05,9.2,6.67453455924988,0.6
0.99,512,64,0.9,0.85,0.3,0.001,1E-06,9.4,6.65070271492004,0.66332495807108
0.99,512,64,0.9,0.85,0.3,0.001,1E-07,9.2,6.29175710678101,0.6
0.99,512,64,0.9,0.85,0.4,0,1E-05,9.6,6.46376776695251,0.8
0.99,512,64,0.9,0.85,0.4,0,1E-06,9.4,6.44101691246033,0.8
0.99,512,64,0.9,0.85,0.4,0,1E-07,9.2,6.52131533622742,0.6
